token,label,start_char,end_char,context
Dursley,PERSON,18,25,"When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story starts, there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country."
Tuesday,DATE,52,59,"When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story starts, there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country."
Dursley,PERSON,4,11,"Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair."
Dursley,PERSON,75,82,"Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair."
Dudley,PERSON,133,139,"Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair."
half past eight,CARDINAL,3,18,"At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls."
Dursley,PERSON,24,31,"At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls."
Dursley,PERSON,69,76,"At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls."
Dudley,PERSON,109,115,"At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls."
Dudley,PERSON,145,151,"At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls."
Dursley,PERSON,28,35,"""Little tyke,"" chortled Mr. Dursley as he left the house."
four,CARDINAL,45,49,He got into his car and backed out of number four's drive.
first,ORDINAL,55,60,It was on the corner of the street that he noticed the first sign of something peculiar -- a cat reading a map.
second,ORDINAL,6,12,"For a second, Mr. Dursley didn't realize what he had seen -- then he jerked his head around to look again."
Dursley,PERSON,18,25,"For a second, Mr. Dursley didn't realize what he had seen -- then he jerked his head around to look again."
Privet Drive,LOC,48,60,"There was a tabby cat standing on the corner of Privet Drive, but there wasn't a map in sight."
Dursley,PERSON,4,11,Mr. Dursley blinked and stared at the cat.
Dursley,PERSON,7,14,"As Mr. Dursley drove around the corner and up the road, he watched the cat in his mirror."
Privet Drive,ORG,38,50,"It was now reading the sign that said Privet Drive -- no, looking at the sign; cats couldn't read maps or signs."
Dursley,PERSON,4,11,Mr. Dursley gave himself a little shake and put the cat out of his mind.
morning,TIME,23,30,"As he sat in the usual morning traffic jam, he couldn't help noticing that there seemed to be a lot of strangely dressed people about."
Dursley,PERSON,4,11,Mr. Dursley couldn't bear people who dressed in funny clothes -- the getups you saw on young people!
Dursley,PERSON,4,11,"Mr. Dursley was enraged to see that a couple of them weren't young at all; why, that man had to be older than he was, and wearing an emerald-green cloak!"
Dursley,PERSON,23,30,"But then it struck Mr. Dursley that this was probably some silly stunt -- these people were obviously collecting for something... yes, that would be it."
a few minutes later,TIME,25,44,"The traffic moved on and a few minutes later, Mr. Dursley arrived in the Grunnings parking lot, his mind back on drills."
Dursley,PERSON,50,57,"The traffic moved on and a few minutes later, Mr. Dursley arrived in the Grunnings parking lot, his mind back on drills."
Dursley,PERSON,4,11,Mr. Dursley always sat with his back to the window in his office on the ninth floor.
ninth,ORDINAL,72,77,Mr. Dursley always sat with his back to the window in his office on the ninth floor.
morning,TIME,74,81,"If he hadn't, he might have found it harder to concentrate on drills that morning."
nighttime,TIME,43,52,Most of them had never seen an owl even at nighttime.
Dursley,PERSON,4,11,"Mr. Dursley, however, had a perfectly normal, owl-free morning."
five,CARDINAL,13,17,He yelled at five different people.
Potters,PERSON,5,12,"""The Potters, that's right, that's what I heard yes, their son, Harry"" Mr. Dursley stopped dead."
Harry,PERSON,64,69,"""The Potters, that's right, that's what I heard yes, their son, Harry"" Mr. Dursley stopped dead."
Dursley,PERSON,75,82,"""The Potters, that's right, that's what I heard yes, their son, Harry"" Mr. Dursley stopped dead."
Potter,ORG,45,51,He was sure there were lots of people called Potter who had a son called Harry.
Harry,PERSON,73,78,He was sure there were lots of people called Potter who had a son called Harry.
Harry,PERSON,63,68,"Come to think of it, he wasn't even sure his nephew was called Harry."
Harvey,PERSON,19,25,It might have been Harvey.
Harold,PERSON,3,9,Or Harold.
Dursley,PERSON,36,43,There was no point in worrying Mrs. Dursley; she always got so upset at any mention of her sister.
afternoon,TIME,55,64,"He found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock, he was still so worried that he walked straight into someone just outside the door."
five o'clock,TIME,98,110,"He found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock, he was still so worried that he walked straight into someone just outside the door."
a few seconds,TIME,7,20,It was a few seconds before Mr. Dursley realized that the man was wearing a violet cloak.
Dursley,PERSON,32,39,It was a few seconds before Mr. Dursley realized that the man was wearing a violet cloak.
today,DATE,165,170,"On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don't be sorry, my dear sir, for nothing could upset me today!"
Dursley,PERSON,27,34,And the old man hugged Mr. Dursley around the middle and walked off.
Dursley,PERSON,4,11,Mr. Dursley stood rooted to the spot.
Muggle,PERSON,37,43,"He also thought he had been called a Muggle, whatever that was."
four,CARDINAL,41,45,"As he pulled into the driveway of number four, the first thing he saw -- and it didn't improve his mood -- was the tabby cat he'd spotted that morning."
first,ORDINAL,51,56,"As he pulled into the driveway of number four, the first thing he saw -- and it didn't improve his mood -- was the tabby cat he'd spotted that morning."
that morning,TIME,138,150,"As he pulled into the driveway of number four, the first thing he saw -- and it didn't improve his mood -- was the tabby cat he'd spotted that morning."
Dursley,PERSON,9,16,said Mr. Dursley loudly.
Dursley,PERSON,4,11,Mr. Dursley wondered.
Dursley,PERSON,5,12,"Mrs. Dursley had had a nice, normal day."
normal day,DATE,29,39,"Mrs. Dursley had had a nice, normal day."
Dudley,PERSON,87,93,"She told him over dinner all about Mrs. Next Door's problems with her daughter and how Dudley had learned a new word (""Won't!"")."
Dursley,PERSON,4,11,Mr. Dursley tried to act normally.
Dudley,PERSON,5,11,"When Dudley had been put to bed, he went into the living room in time to catch the last report on the evening news: ""And finally, bird-watchers everywhere have reported that the nation's owls have been behaving very unusually today."
today,DATE,226,231,"When Dudley had been put to bed, he went into the living room in time to catch the last report on the evening news: ""And finally, bird-watchers everywhere have reported that the nation's owls have been behaving very unusually today."
night,TIME,31,36,"Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise."
hundreds,CARDINAL,91,99,"Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise."
Jim McGuffin,ORG,17,29,"And now, over to Jim McGuffin with the weather."
tonight,TIME,37,44,"Going to be any more showers of owls tonight, Jim?"""
Jim,PERSON,46,49,"Going to be any more showers of owls tonight, Jim?"""
today,DATE,115,120,"""Well, Ted,"" said the weatherman, ""I don't know about that, but it's not only the owls that have been acting oddly today."
Kent,GPE,24,28,"Viewers as far apart as Kent, Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I promised yesterday, they've had a downpour of shooting stars!"
Yorkshire,GPE,30,39,"Viewers as far apart as Kent, Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I promised yesterday, they've had a downpour of shooting stars!"
Dundee,PERSON,45,51,"Viewers as far apart as Kent, Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I promised yesterday, they've had a downpour of shooting stars!"
yesterday,DATE,120,129,"Viewers as far apart as Kent, Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I promised yesterday, they've had a downpour of shooting stars!"
Bonfire Night,WORK_OF_ART,37,50,"Perhaps people have been celebrating Bonfire Night early -- it's not until next week, folks!"
next week,DATE,75,84,"Perhaps people have been celebrating Bonfire Night early -- it's not until next week, folks!"
night tonight,TIME,24,37,"But I can promise a wet night tonight."""
Dursley,PERSON,4,11,Mr. Dursley sat frozen in his armchair.
Britain,GPE,24,31,Shooting stars all over Britain?
Potters,PERSON,35,42,"And a whisper, a whisper about the Potters... Mrs. Dursley came into the living room carrying two cups of tea."
Dursley,PERSON,51,58,"And a whisper, a whisper about the Potters... Mrs. Dursley came into the living room carrying two cups of tea."
two,CARDINAL,94,97,"And a whisper, a whisper about the Potters... Mrs. Dursley came into the living room carrying two cups of tea."
Dursley,PERSON,25,32,"As he had expected, Mrs. Dursley looked shocked and angry."
Dursley,PERSON,31,38,"""Funny stuff on the news,"" Mr. Dursley mumbled."
today,DATE,80,85,"""Owls... shooting stars... and there were a lot of funny-looking people in town today..."" ""So?"""
Dursley,PERSON,13,20,snapped Mrs. Dursley.
Dursley,PERSON,5,12,Mrs. Dursley sipped her tea through pursed lips.
Dursley,PERSON,4,11,"Mr. Dursley wondered whether he dared tell her he'd heard the name ""Potter."""
Dudley,PERSON,70,76,"Instead he said, as casually as he could, ""Their son -- he'd be about Dudley's age now, wouldn't he?"""
Dursley,PERSON,26,33,"""I suppose so,"" said Mrs. Dursley stiffly."
Howard,PERSON,0,6,"Howard, isn't it?"""
Harry,PERSON,1,6,"""Harry."
Nasty,ORG,0,5,"Nasty, common name, if you ask me."""
Dursley,PERSON,20,27,"""Oh, yes,"" said Mr. Dursley, his heart sinking horribly."
Dursley,PERSON,11,18,"While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the bedroom window and peered down into the front garden."
Dursley,PERSON,44,51,"While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the bedroom window and peered down into the front garden."
Privet Drive,LOC,20,32,It was staring down Privet Drive as though it were waiting for something.
Potters,PERSON,44,51,Could all this have anything to do with the Potters?
Dursleys,PERSON,4,12,The Dursleys got into bed.
Dursley,PERSON,5,12,"Mrs. Dursley fell asleep quickly but Mr. Dursley lay awake, turning it all over in his mind."
Dursley,PERSON,41,48,"Mrs. Dursley fell asleep quickly but Mr. Dursley lay awake, turning it all over in his mind."
Potters,PERSON,72,79,"His last, comforting thought before he fell asleep was that even if the Potters were involved, there was no reason for them to come near him and Mrs. Dursley."
Dursley,PERSON,150,157,"His last, comforting thought before he fell asleep was that even if the Potters were involved, there was no reason for them to come near him and Mrs. Dursley."
Potters,PERSON,4,11,The Potters knew very well what he and Petunia thought about them and their kind....
Petunia,PERSON,39,46,The Potters knew very well what he and Petunia thought about them and their kind....
Petunia,ORG,27,34,He couldn't see how he and Petunia could get mixed up in anything that might be going on -- he yawned and turned over -- it couldn't affect them.... How very wrong he was.
Dursley,PERSON,4,11,"Mr. Dursley might have been drifting into an uneasy sleep, but the cat on the wall outside was showing no sign of sleepiness."
Privet Drive,LOC,86,98,"It was sitting as still as a statue, its eyes fixed unblinkingly on the far corner of Privet Drive."
two,CARDINAL,81,84,"It didn't so much as quiver when a car door slammed on the next street, nor when two owls swooped overhead."
nearly midnight,TIME,16,31,"In fact, it was nearly midnight before the cat moved at all."
Privet Drive,LOC,44,56,Nothing like this man had ever been seen on Privet Drive.
half-moon,QUANTITY,55,64,"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice."
Albus Dumbledore,PERSON,20,36,This man's name was Albus Dumbledore.
Albus Dumbledore,PERSON,0,16,Albus Dumbledore didn't seem to realize that he had just arrived in a street where everything from his name to his boots was unwelcome.
Twelve,CARDINAL,0,6,"Twelve times he clicked the Put-Outer, until the only lights left on the whole street were two tiny pinpricks in the distance, which were the eyes of the cat watching him."
the Put-Outer,PRODUCT,24,37,"Twelve times he clicked the Put-Outer, until the only lights left on the whole street were two tiny pinpricks in the distance, which were the eyes of the cat watching him."
two,CARDINAL,91,94,"Twelve times he clicked the Put-Outer, until the only lights left on the whole street were two tiny pinpricks in the distance, which were the eyes of the cat watching him."
Dursley,PERSON,63,70,"If anyone looked out of their window now, even beady-eyed Mrs. Dursley, they wouldn't be able to see anything that was happening down on the pavement."
the Put-Outer,FAC,19,32,"Dumbledore slipped the Put-Outer back inside his cloak and set off down the street toward number four, where he sat down on the wall next to the cat."
four,CARDINAL,97,101,"Dumbledore slipped the Put-Outer back inside his cloak and set off down the street toward number four, where he sat down on the wall next to the cat."
Professor McGonagall,PERSON,24,44,"""Fancy seeing you here, Professor McGonagall."""
one,CARDINAL,42,45,"She, too, was wearing a cloak, an emerald one."
all day,DATE,54,61,"""You'd be stiff if you'd been sitting on a brick wall all day,"" said Professor McGonagall."
Professor McGonagall,PERSON,69,89,"""You'd be stiff if you'd been sitting on a brick wall all day,"" said Professor McGonagall."
All day,DATE,1,8,"""All day?"
dozen,CARDINAL,21,26,"I must have passed a dozen feasts and parties on my way here."""
McGonagall,PERSON,10,20,Professor McGonagall sniffed angrily.
Dursleys,PERSON,32,40,She jerked her head back at the Dursleys' dark living-room window.
Kent,GPE,23,27,Shooting stars down in Kent -- I'll bet that was Dedalus Diggle.
Dedalus Diggle,PERSON,49,63,Shooting stars down in Kent -- I'll bet that was Dedalus Diggle.
Dumbledore,PERSON,29,39,"""You can't blame them,"" said Dumbledore gently."
eleven years,DATE,44,56,"""We've had precious little to celebrate for eleven years."""
Professor McGonagall,PERSON,20,40,"""I know that,"" said Professor McGonagall irritably."
Muggle,PERSON,95,101,"People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors."""
Dumbledore,PERSON,38,48,"She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn't, so she went on."
the very day,DATE,33,45,"""A fine thing it would be if, on the very day YouKnow-Who seems to have disappeared at last, the Muggles found out about us all."
Dumbledore,PERSON,30,40,"I suppose he really has gone, Dumbledore?"""
Dumbledore,PERSON,30,40,"""It certainly seems so,"" said Dumbledore."
Muggle,PERSON,18,24,"They're a kind of Muggle sweet I'm rather fond of"" ""No, thank you,"" said Professor McGonagall coldly, as though she didn't think this was the moment for lemon drops."
McGonagall,PERSON,83,93,"They're a kind of Muggle sweet I'm rather fond of"" ""No, thank you,"" said Professor McGonagall coldly, as though she didn't think this was the moment for lemon drops."
eleven years,DATE,41,53,"All this 'You- Know-Who' nonsense -- for eleven years I have been trying to persuade people to call him by his proper name: Voldemort."""
Voldemort,PERSON,124,133,"All this 'You- Know-Who' nonsense -- for eleven years I have been trying to persuade people to call him by his proper name: Voldemort."""
McGonagall,PERSON,10,20,"Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice."
Dumbledore,PERSON,35,45,"Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice."
two,CARDINAL,66,69,"Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice."
Voldemort,PERSON,56,65,I have never seen any reason to be frightened of saying Voldemort's name.
Professor McGonagall,PERSON,27,47,"""I know you haven 't, said Professor McGonagall, sounding half exasperated, half admiring."
half,CARDINAL,58,62,"""I know you haven 't, said Professor McGonagall, sounding half exasperated, half admiring."
half,CARDINAL,76,80,"""I know you haven 't, said Professor McGonagall, sounding half exasperated, half admiring."
Voldemort,PERSON,60,69,"Everyone knows you're the only one You-Know- oh, all right, Voldemort, was frightened of."""
Dumbledore,PERSON,23,33,"""You flatter me,"" said Dumbledore calmly."
Voldemort,PERSON,1,10,"""Voldemort had powers I will never have."""
Pomfrey,PERSON,38,45,"I haven't blushed so much since Madam Pomfrey told me she liked my new earmuffs."""
McGonagall,PERSON,10,20,"Professor McGonagall shot a sharp look at Dumbledore and said, ""The owls are nothing next to the rumors that are flying around."
Dumbledore,PERSON,42,52,"Professor McGonagall shot a sharp look at Dumbledore and said, ""The owls are nothing next to the rumors that are flying around."
Professor McGonagall,PERSON,15,35,"It seemed that Professor McGonagall had reached the point she was most anxious to discuss, the real reason she had been waiting on a cold, hard wall all day, for neither as a cat nor as a woman had she fixed Dumbledore with such a piercing stare as she did now."
Dumbledore,PERSON,208,218,"It seemed that Professor McGonagall had reached the point she was most anxious to discuss, the real reason she had been waiting on a cold, hard wall all day, for neither as a cat nor as a woman had she fixed Dumbledore with such a piercing stare as she did now."
Dumbledore,PERSON,88,98,"It was plain that whatever ""everyone"" was saying, she was not going to believe it until Dumbledore told her it was true."
last night,TIME,48,58,"""What they're saying,"" she pressed on, ""is that last night Voldemort turned up in Godric's Hollow."
Voldemort,PERSON,59,68,"""What they're saying,"" she pressed on, ""is that last night Voldemort turned up in Godric's Hollow."
Godric,PERSON,82,88,"""What they're saying,"" she pressed on, ""is that last night Voldemort turned up in Godric's Hollow."
Potters,PERSON,20,27,He went to find the Potters.
Lily,PERSON,18,22,The rumor is that Lily and James Potter are -- are -- that they're -- dead.
James Potter,PERSON,27,39,The rumor is that Lily and James Potter are -- are -- that they're -- dead.
Dumbledore,PERSON,2,12,“ Dumbledore bowed his head.
McGonagall,PERSON,10,20,Professor McGonagall gasped.
Lily,PERSON,1,5,"""Lily and James..."
James,PERSON,10,15,"""Lily and James..."
Albus,PERSON,35,40,"I didn't want to believe it... Oh, Albus..."" Dumbledore reached out and patted her on the shoulder."
Dumbledore,PERSON,45,55,"I didn't want to believe it... Oh, Albus..."" Dumbledore reached out and patted her on the shoulder."
McGonagall,PERSON,10,20,Professor McGonagall's voice trembled as she went on.
Harry,PERSON,50,55,"They're saying he tried to kill the Potter's son, Harry."
Harry Potter,PERSON,72,84,"No one knows why, or how, but they're saying that when he couldn't kill Harry Potter, Voldemort's power somehow broke -- and that's why he's gone."
Voldemort,PERSON,86,95,"No one knows why, or how, but they're saying that when he couldn't kill Harry Potter, Voldemort's power somehow broke -- and that's why he's gone."
McGonagall,PERSON,19,29,faltered Professor McGonagall.
Harry,PERSON,91,96,"It's just astounding... of all the things to stop him... but how in the name of heaven did Harry survive?"""
Dumbledore,PERSON,26,36,"""We can only guess,"" said Dumbledore."
McGonagall,PERSON,10,20,Professor McGonagall pulled out a lace handkerchief and dabbed at her eyes beneath her spectacles.
twelve,CARDINAL,7,13,"It had twelve hands but no numbers; instead, little planets were moving around the edge."
Dumbledore,PERSON,27,37,"It must have made sense to Dumbledore, though, because he put it back in his pocket and said, ""Hagrid's late."
Hagrid,PERSON,95,101,"It must have made sense to Dumbledore, though, because he put it back in his pocket and said, ""Hagrid's late."
Professor McGonagall,PERSON,12,32,"""Yes,"" said Professor McGonagall."
Harry,PERSON,20,25,"""I've come to bring Harry to his aunt and uncle."
Professor McGonagall,PERSON,6,26,"cried Professor McGonagall, jumping to her feet and pointing at number four."
four,CARDINAL,71,75,"cried Professor McGonagall, jumping to her feet and pointing at number four."
all day,DATE,24,31,I've been watching them all day.
two,CARDINAL,18,21,You couldn't find two people who are less like us.
Harry Potter,PERSON,0,12,"Harry Potter come and live here!"""
Dumbledore,PERSON,36,46,"""It's the best place for him,"" said Dumbledore firmly."
McGonagall,PERSON,19,29,"repeated Professor McGonagall faintly, sitting back down on the wall."
Dumbledore,PERSON,9,19,"""Really, Dumbledore, you think you can explain all this in a letter?"
today,DATE,58,63,"He'll be famous -- a legend -- I wouldn't be surprised if today was known as Harry Potter day in the future -- there will be books written about Harry -- every child in our world will know his name!"""
Harry Potter day,WORK_OF_ART,77,93,"He'll be famous -- a legend -- I wouldn't be surprised if today was known as Harry Potter day in the future -- there will be books written about Harry -- every child in our world will know his name!"""
Harry,PERSON,145,150,"He'll be famous -- a legend -- I wouldn't be surprised if today was known as Harry Potter day in the future -- there will be books written about Harry -- every child in our world will know his name!"""
Dumbledore,PERSON,16,26,"""Exactly,"" said Dumbledore, looking very seriously over the top of his half-moon glasses."
half-moon,QUANTITY,71,80,"""Exactly,"" said Dumbledore, looking very seriously over the top of his half-moon glasses."
CarA,PERSON,0,4,"CarA you see how much better off he'll be, growing up away from all that until he's ready to take it?"""
McGonagall,PERSON,10,20,"Professor McGonagall opened her mouth, changed her mind, swallowed, and then said, ""Yes -- yes, you're right, of course."
Dumbledore,PERSON,33,43,"But how is the boy getting here, Dumbledore?"""
Harry,PERSON,69,74,She eyed his cloak suddenly as though she thought he might be hiding Harry underneath it.
Hagrid,PERSON,1,7,"""Hagrid's bringing him."""
Hagrid,PERSON,34,40,"""You think it -- wise -- to trust Hagrid with something as important as this?"""
Hagrid,PERSON,14,20,"I would trust Hagrid with my life,"" said Dumbledore."
Dumbledore,PERSON,41,51,"I would trust Hagrid with my life,"" said Dumbledore."
McGonagall,PERSON,68,78,"""I'm not saying his heart isn't in the right place,"" said Professor McGonagall grudgingly, ""but you can't pretend he's not careless."
at least five,CARDINAL,48,61,He was almost twice as tall as a normal man and at least five times as wide.
Hagrid,PERSON,1,7,"""Hagrid,"" said Dumbledore, sounding relieved."
Dumbledore,PERSON,15,25,"""Hagrid,"" said Dumbledore, sounding relieved."
Dumbledore,PERSON,24,34,"""Borrowed it, Professor Dumbledore, sit,"" said the giant, climbing carefully off the motorcycle as he spoke."
Young Sirius Black,WORK_OF_ART,1,19,"""Young Sirius Black lent it to me."
Bristol,GPE,37,44,"He fell asleep as we was flyin' over Bristol."""
McGonagall,PERSON,25,35,Dumbledore and Professor McGonagall bent forward over the bundle of blankets.
McGonagall,PERSON,20,30,whispered Professor McGonagall.
Dumbledore,PERSON,12,22,"""Yes,"" said Dumbledore."
Dumbledore,PERSON,37,47,"""Couldn't you do something about it, Dumbledore?"""
the London Underground,LOC,62,84,I have one myself above my left knee that is a perfect map of the London Underground.
Hagrid,PERSON,23,29,"Well -- give him here, Hagrid -- we'd better get this over with."""
Harry,PERSON,16,21,Dumbledore took Harry in his arms and turned toward the Dursleys' house.
Dursleys,PERSON,56,64,Dumbledore took Harry in his arms and turned toward the Dursleys' house.
Hagrid,PERSON,6,12,asked Hagrid.
Harry,PERSON,36,41,"He bent his great, shaggy head over Harry and gave him what must have been a very scratchy, whiskery kiss."
Hagrid,PERSON,16,22,"Then, suddenly, Hagrid let out a howl like a wounded dog."
Professor McGonagall,PERSON,7,27,"hissed Professor McGonagall, ""you'll wake the Muggles!"""
S-s-sorry,WORK_OF_ART,1,10,"""S-s-sorry,"" sobbed Hagrid, taking out a large, spotted handkerchief and burying his face in it."
Hagrid,PERSON,20,26,"""S-s-sorry,"" sobbed Hagrid, taking out a large, spotted handkerchief and burying his face in it."
Lily,PERSON,29,33,"""But I c-c-can't stand it -- Lily an' James dead -- an' poor little Harry off ter live with Muggles -"" ""Yes, yes, it's all very sad, but get a grip on yourself, Hagrid, or we'll be found,"" Professor McGonagall whispered, patting Hagrid gingerly on the arm as Dumbledore stepped over the low garden wall and walked to the front door."
James,PERSON,38,43,"""But I c-c-can't stand it -- Lily an' James dead -- an' poor little Harry off ter live with Muggles -"" ""Yes, yes, it's all very sad, but get a grip on yourself, Hagrid, or we'll be found,"" Professor McGonagall whispered, patting Hagrid gingerly on the arm as Dumbledore stepped over the low garden wall and walked to the front door."
Harry,PERSON,68,73,"""But I c-c-can't stand it -- Lily an' James dead -- an' poor little Harry off ter live with Muggles -"" ""Yes, yes, it's all very sad, but get a grip on yourself, Hagrid, or we'll be found,"" Professor McGonagall whispered, patting Hagrid gingerly on the arm as Dumbledore stepped over the low garden wall and walked to the front door."
Hagrid,PERSON,161,167,"""But I c-c-can't stand it -- Lily an' James dead -- an' poor little Harry off ter live with Muggles -"" ""Yes, yes, it's all very sad, but get a grip on yourself, Hagrid, or we'll be found,"" Professor McGonagall whispered, patting Hagrid gingerly on the arm as Dumbledore stepped over the low garden wall and walked to the front door."
McGonagall,PERSON,199,209,"""But I c-c-can't stand it -- Lily an' James dead -- an' poor little Harry off ter live with Muggles -"" ""Yes, yes, it's all very sad, but get a grip on yourself, Hagrid, or we'll be found,"" Professor McGonagall whispered, patting Hagrid gingerly on the arm as Dumbledore stepped over the low garden wall and walked to the front door."
Hagrid,PERSON,229,235,"""But I c-c-can't stand it -- Lily an' James dead -- an' poor little Harry off ter live with Muggles -"" ""Yes, yes, it's all very sad, but get a grip on yourself, Hagrid, or we'll be found,"" Professor McGonagall whispered, patting Hagrid gingerly on the arm as Dumbledore stepped over the low garden wall and walked to the front door."
